summ_idx,xref_idx,func_descr
1,1,file_info
1,2,line_count
1,3,sql_count
1,4,sql_code
1,5,libname
1,6,export_count
1,7,null_ds_count
2,8,file_info
2,9,line_count
2,10,sql_count
2,11,libname
2,12,export_count
2,13,null_ds_count
2,14,file_ref
3,15,file_info
3,16,line_count
3,17,sql_count
3,18,sql_code
3,19,sql_code
3,20,libname
3,21,export_count
3,22,null_ds_count
3,23,file_ref
4,24,file_info
4,25,line_count
4,26,sql_count
4,27,sql_code
4,28,sql_code
4,29,sql_code
4,30,sql_code
4,31,sql_code
4,32,sql_code
4,33,libname
4,34,libname
4,35,libname
4,36,libname
4,37,export_count
4,38,null_ds_count
4,39,hardcoded_dates
4,40,hardcoded_dates
5,41,file_info
5,42,line_count
5,43,sql_count
5,44,sql_code
5,45,sql_code
5,46,libname
5,47,export_count
5,48,null_ds_count
5,49,file_ref
